Year,Disaster,Quantity
1992,Storm,76.0
1993,Storm,105.0
1994,Storm,80.0
1995,Storm,76.0
1996,Storm,74.0
1997,Storm,79.0
1998,Storm,86.0
1999,Storm,103.0
2000,Storm,101.0
2001,Storm,105.0
2002,Storm,122.0
2003,Storm,85.0
2004,Storm,121.0
2005,Storm,130.0
2006,Storm,76.0
2007,Storm,100.0
2008,Storm,112.0
2009,Storm,87.0
2010,Storm,94.0
2011,Storm,81.0
2012,Storm,90.0
2013,Storm,105.0
2014,Storm,98.0
2015,Storm,121.0
2016,Storm,86.0
2017,Storm,126.0
2018,Storm,94.0
2019,Storm,91.0
2020,Storm,127.0
2021,Storm,119.0
2022,Storm,105.0
1980,Flood,39.0
1981,Flood,38.0
1982,Flood,47.0
1983,Flood,48.0
1984,Flood,46.0
1985,Flood,56.0
1986,Flood,48.0
1987,Flood,65.0
1988,Flood,74.0
1989,Flood,44.0
1990,Flood,59.0
1991,Flood,75.0
1992,Flood,57.0
1993,Flood,84.0
1994,Flood,88.0
1995,Flood,93.0
1996,Flood,91.0
1997,Flood,95.0
1998,Flood,94.0
1999,Flood,122.0
2000,Flood,157.0
2001,Flood,155.0
2002,Flood,171.0
2003,Flood,157.0
2004,Flood,127.0
2005,Flood,191.0
2006,Flood,226.0
2007,Flood,217.0
2008,Flood,165.0
2009,Flood,151.0
2010,Flood,184.0
2011,Flood,156.0
2012,Flood,136.0
2013,Flood,148.0
2014,Flood,136.0
2015,Flood,161.0
2016,Flood,159.0
2017,Flood,127.0
2018,Flood,127.0
2019,Flood,195.0
2020,Flood,201.0
2021,Flood,222.0
2022,Flood,176.0
